city,year,weekofyear,total_cases
sj,2008,18,10
sj,2008,19,9
sj,2008,20,9
sj,2008,21,10
sj,2008,22,9
sj,2008,23,7
sj,2008,24,8
sj,2008,25,13
sj,2008,26,18
sj,2008,27,6
sj,2008,28,10
sj,2008,29,20
sj,2008,30,20
sj,2008,31,19
sj,2008,32,31
sj,2008,33,29
sj,2008,34,31
sj,2008,35,31
sj,2008,36,50
sj,2008,37,32
sj,2008,38,35
sj,2008,39,33
sj,2008,40,52
sj,2008,41,36
sj,2008,42,47
sj,2008,43,40
sj,2008,44,36
sj,2008,45,34
sj,2008,46,36
sj,2008,47,43
sj,2008,48,34
sj,2008,49,32
sj,2008,50,29
sj,2008,51,29
sj,2008,52,29
sj,2009,1,16
sj,2009,2,18
sj,2009,3,14
sj,2009,4,15
sj,2009,5,13
sj,2009,6,16
sj,2009,7,24
sj,2009,8,17
sj,2009,9,18
sj,2009,10,14
sj,2009,11,12
sj,2009,12,9
sj,2009,13,3
sj,2009,14,10
sj,2009,15,8
sj,2009,16,9
sj,2009,17,8
sj,2009,18,9
sj,2009,19,9
sj,2009,20,8
sj,2009,21,6
sj,2009,22,7
sj,2009,23,9
sj,2009,24,9
sj,2009,25,9
sj,2009,26,17
sj,2009,27,14
sj,2009,28,17
sj,2009,29,22
sj,2009,30,18
sj,2009,31,25
sj,2009,32,31
sj,2009,33,32
sj,2009,34,27
sj,2009,35,34
sj,2009,36,70
sj,2009,37,33
sj,2009,38,37
sj,2009,39,35
sj,2009,40,35
sj,2009,41,39
sj,2009,42,44
sj,2009,43,43
sj,2009,44,89
sj,2009,45,54
sj,2009,46,47
sj,2009,47,47
sj,2009,48,54
sj,2009,49,47
sj,2009,50,49
sj,2009,51,51
sj,2009,52,48
sj,2010,53,44
sj,2010,1,27
sj,2010,2,34
sj,2010,3,28
sj,2010,4,31
sj,2010,5,27
sj,2010,6,17
sj,2010,7,18
sj,2010,8,15
sj,2010,9,18
sj,2010,10,14
sj,2010,11,6
sj,2010,12,6
sj,2010,13,7
sj,2010,14,4
sj,2010,15,5
sj,2010,16,10
sj,2010,17,9
sj,2010,18,7
sj,2010,19,8
sj,2010,20,17
sj,2010,21,18
sj,2010,22,84
sj,2010,23,39
sj,2010,24,37
sj,2010,25,44
sj,2010,26,46
sj,2010,27,75
sj,2010,28,67
sj,2010,29,111
sj,2010,30,78
sj,2010,31,94
sj,2010,32,108
sj,2010,33,119
sj,2010,34,103
sj,2010,35,103
sj,2010,36,119
sj,2010,37,94
sj,2010,38,97
sj,2010,39,81
sj,2010,40,88
sj,2010,41,116
sj,2010,42,100
sj,2010,43,106
sj,2010,44,104
sj,2010,45,65
sj,2010,46,52
sj,2010,47,50
sj,2010,48,58
sj,2010,49,71
sj,2010,50,81
sj,2010,51,73
sj,2011,52,68
sj,2011,1,27
sj,2011,2,32
sj,2011,3,28
sj,2011,4,25
sj,2011,5,20
sj,2011,6,16
sj,2011,7,18
sj,2011,8,13
sj,2011,9,15
sj,2011,10,14
sj,2011,11,15
sj,2011,12,12
sj,2011,13,11
sj,2011,14,17
sj,2011,15,18
sj,2011,16,14
sj,2011,17,14
sj,2011,18,18
sj,2011,19,22
sj,2011,20,11
sj,2011,21,11
sj,2011,22,11
sj,2011,23,12
sj,2011,24,28
sj,2011,25,14
sj,2011,26,20
sj,2011,27,24
sj,2011,28,33
sj,2011,29,17
sj,2011,30,35
sj,2011,31,23
sj,2011,32,152
sj,2011,33,44
sj,2011,34,94
sj,2011,35,41
sj,2011,36,46
sj,2011,37,46
sj,2011,38,43
sj,2011,39,39
sj,2011,40,43
sj,2011,41,43
sj,2011,42,41
sj,2011,43,41
sj,2011,44,42
sj,2011,45,43
sj,2011,46,36
sj,2011,47,41
sj,2011,48,42
sj,2011,49,32
sj,2011,50,42
sj,2011,51,28
sj,2012,52,27
sj,2012,1,20
sj,2012,2,17
sj,2012,3,16
sj,2012,4,15
sj,2012,5,12
sj,2012,6,12
sj,2012,7,13
sj,2012,8,9
sj,2012,9,15
sj,2012,10,8
sj,2012,11,5
sj,2012,12,6
sj,2012,13,7
sj,2012,14,23
sj,2012,15,22
sj,2012,16,14
sj,2012,17,10
sj,2012,18,20
sj,2012,19,12
sj,2012,20,11
sj,2012,21,8
sj,2012,22,7
sj,2012,23,11
sj,2012,24,14
sj,2012,25,19
sj,2012,26,15
sj,2012,27,16
sj,2012,28,25
sj,2012,29,18
sj,2012,30,41
sj,2012,31,22
sj,2012,32,34
sj,2012,33,47
sj,2012,34,36
sj,2012,35,35
sj,2012,36,94
sj,2012,37,102
sj,2012,38,114
sj,2012,39,68
sj,2012,40,89
sj,2012,41,88
sj,2012,42,52
sj,2012,43,53
sj,2012,44,53
sj,2012,45,140
sj,2012,46,148
sj,2012,47,132
sj,2012,48,138
sj,2012,49,139
sj,2012,50,146
sj,2012,51,139
sj,2013,1,65
sj,2013,2,62
sj,2013,3,59
sj,2013,4,71
sj,2013,5,73
sj,2013,6,49
sj,2013,7,43
sj,2013,8,43
sj,2013,9,41
sj,2013,10,43
sj,2013,11,38
sj,2013,12,53
sj,2013,13,57
sj,2013,14,54
sj,2013,15,54
sj,2013,16,38
sj,2013,17,15
iq,2010,26,1
iq,2010,27,6
iq,2010,28,7
iq,2010,29,0
iq,2010,30,1
iq,2010,31,2
iq,2010,32,1
iq,2010,33,0
iq,2010,34,0
iq,2010,35,1
iq,2010,36,0
iq,2010,37,0
iq,2010,38,5
iq,2010,39,0
iq,2010,40,10
