city,year,weekofyear,total_cases
sj,2008,18,37
sj,2008,19,22
sj,2008,20,32
sj,2008,21,33
sj,2008,22,38
sj,2008,23,36
sj,2008,24,34
sj,2008,25,45
sj,2008,26,38
sj,2008,27,31
sj,2008,28,35
sj,2008,29,33
sj,2008,30,42
sj,2008,31,39
sj,2008,32,44
sj,2008,33,46
sj,2008,34,38
sj,2008,35,39
sj,2008,36,51
sj,2008,37,50
sj,2008,38,37
sj,2008,39,40
sj,2008,40,48
sj,2008,41,30
sj,2008,42,43
sj,2008,43,38
sj,2008,44,30
sj,2008,45,36
sj,2008,46,34
sj,2008,47,38
sj,2008,48,35
sj,2008,49,36
sj,2008,50,33
sj,2008,51,40
sj,2008,52,41
sj,2009,1,0
sj,2009,2,0
sj,2009,3,0
sj,2009,4,3
sj,2009,5,4
sj,2009,6,2
sj,2009,7,8
sj,2009,8,8
sj,2009,9,7
sj,2009,10,5
sj,2009,11,15
sj,2009,12,2
sj,2009,13,8
sj,2009,14,5
sj,2009,15,4
sj,2009,16,2
sj,2009,17,13
sj,2009,18,10
sj,2009,19,5
sj,2009,20,9
sj,2009,21,8
sj,2009,22,16
sj,2009,23,24
sj,2009,24,19
sj,2009,25,24
sj,2009,26,24
sj,2009,27,23
sj,2009,28,29
sj,2009,29,24
sj,2009,30,26
sj,2009,31,28
sj,2009,32,26
sj,2009,33,34
sj,2009,34,33
sj,2009,35,38
sj,2009,36,43
sj,2009,37,34
sj,2009,38,43
sj,2009,39,46
sj,2009,40,40
sj,2009,41,39
sj,2009,42,42
sj,2009,43,45
sj,2009,44,44
sj,2009,45,39
sj,2009,46,39
sj,2009,47,51
sj,2009,48,55
sj,2009,49,41
sj,2009,50,41
sj,2009,51,44
sj,2009,52,51
sj,2010,53,51
sj,2010,1,7
sj,2010,2,13
sj,2010,3,6
sj,2010,4,9
sj,2010,5,6
sj,2010,6,10
sj,2010,7,12
sj,2010,8,20
sj,2010,9,26
sj,2010,10,34
sj,2010,11,31
sj,2010,12,23
sj,2010,13,15
sj,2010,14,33
sj,2010,15,14
sj,2010,16,27
sj,2010,17,30
sj,2010,18,32
sj,2010,19,19
sj,2010,20,19
sj,2010,21,29
sj,2010,22,37
sj,2010,23,33
sj,2010,24,26
sj,2010,25,33
sj,2010,26,38
sj,2010,27,31
sj,2010,28,41
sj,2010,29,39
sj,2010,30,40
sj,2010,31,31
sj,2010,32,45
sj,2010,33,38
sj,2010,34,44
sj,2010,35,39
sj,2010,36,50
sj,2010,37,40
sj,2010,38,45
sj,2010,39,37
sj,2010,40,44
sj,2010,41,52
sj,2010,42,43
sj,2010,43,43
sj,2010,44,42
sj,2010,45,48
sj,2010,46,39
sj,2010,47,34
sj,2010,48,36
sj,2010,49,46
sj,2010,50,45
sj,2010,51,48
sj,2011,52,30
sj,2011,1,0
sj,2011,2,9
sj,2011,3,0
sj,2011,4,0
sj,2011,5,0
sj,2011,6,1
sj,2011,7,0
sj,2011,8,4
sj,2011,9,5
sj,2011,10,6
sj,2011,11,9
sj,2011,12,9
sj,2011,13,16
sj,2011,14,19
sj,2011,15,11
sj,2011,16,7
sj,2011,17,11
sj,2011,18,16
sj,2011,19,10
sj,2011,20,33
sj,2011,21,30
sj,2011,22,25
sj,2011,23,32
sj,2011,24,51
sj,2011,25,43
sj,2011,26,41
sj,2011,27,39
sj,2011,28,35
sj,2011,29,43
sj,2011,30,42
sj,2011,31,36
sj,2011,32,46
sj,2011,33,48
sj,2011,34,51
sj,2011,35,57
sj,2011,36,49
sj,2011,37,57
sj,2011,38,56
sj,2011,39,52
sj,2011,40,56
sj,2011,41,53
sj,2011,42,55
sj,2011,43,47
sj,2011,44,51
sj,2011,45,61
sj,2011,46,56
sj,2011,47,48
sj,2011,48,52
sj,2011,49,47
sj,2011,50,53
sj,2011,51,50
sj,2012,52,51
sj,2012,1,11
sj,2012,2,9
sj,2012,3,10
sj,2012,4,9
sj,2012,5,10
sj,2012,6,11
sj,2012,7,22
sj,2012,8,14
sj,2012,9,16
sj,2012,10,22
sj,2012,11,18
sj,2012,12,24
sj,2012,13,25
sj,2012,14,35
sj,2012,15,33
sj,2012,16,43
sj,2012,17,45
sj,2012,18,38
sj,2012,19,30
sj,2012,20,37
sj,2012,21,38
sj,2012,22,36
sj,2012,23,44
sj,2012,24,42
sj,2012,25,47
sj,2012,26,48
sj,2012,27,47
sj,2012,28,51
sj,2012,29,50
sj,2012,30,54
sj,2012,31,51
sj,2012,32,58
sj,2012,33,68
sj,2012,34,60
sj,2012,35,62
sj,2012,36,55
sj,2012,37,59
sj,2012,38,60
sj,2012,39,67
sj,2012,40,69
sj,2012,41,63
sj,2012,42,81
sj,2012,43,75
sj,2012,44,79
sj,2012,45,74
sj,2012,46,74
sj,2012,47,70
sj,2012,48,69
sj,2012,49,71
sj,2012,50,77
sj,2012,51,75
sj,2013,1,29
sj,2013,2,24
sj,2013,3,26
sj,2013,4,28
sj,2013,5,29
sj,2013,6,34
sj,2013,7,38
sj,2013,8,43
sj,2013,9,37
sj,2013,10,50
sj,2013,11,45
sj,2013,12,41
sj,2013,13,50
sj,2013,14,52
sj,2013,15,44
sj,2013,16,40
sj,2013,17,44
iq,2010,26,20
iq,2010,27,17
iq,2010,28,19
iq,2010,29,4
iq,2010,30,3
iq,2010,31,8
iq,2010,32,5
iq,2010,33,4
iq,2010,34,3
iq,2010,35,3
iq,2010,36,4
iq,2010,37,3
iq,2010,38,2
iq,2010,39,4
iq,2010,40,1
iq,2010,41,3
iq,2010,42,5
iq,2010,43,8
iq,2010,44,12
iq,2010,45,5
iq,2010,46,6
iq,2010,47,8
iq,2010,48,8
iq,2010,49,9
iq,2010,50,6
iq,2010,51,2
iq,2011,52,3
iq,2011,1,8
iq,2011,2,7
iq,2011,3,8
iq,2011,4,6
iq,2011,5,4
iq,2011,6,7
iq,2011,7,6
iq,2011,8,8
iq,2011,9,7
iq,2011,10,8
iq,2011,11,8
iq,2011,12,9
iq,2011,13,11
iq,2011,14,8
iq,2011,15,7
iq,2011,16,8
iq,2011,17,9
iq,2011,18,10
iq,2011,19,3
iq,2011,20,7
iq,2011,21,6
iq,2011,22,6
iq,2011,23,4
iq,2011,24,4
iq,2011,25,3
iq,2011,26,5
iq,2011,27,6
iq,2011,28,4
iq,2011,29,6
iq,2011,30,6
iq,2011,31,6
iq,2011,32,5
iq,2011,33,8
iq,2011,34,2
iq,2011,35,2
iq,2011,36,6
iq,2011,37,7
iq,2011,38,7
iq,2011,39,11
iq,2011,40,8
iq,2011,41,11
iq,2011,42,15
iq,2011,43,10
iq,2011,44,9
iq,2011,45,10
iq,2011,46,9
iq,2011,47,10
iq,2011,48,11
iq,2011,49,11
iq,2011,50,10
iq,2011,51,9
iq,2012,52,9
iq,2012,1,11
iq,2012,2,10
iq,2012,3,8
iq,2012,4,8
iq,2012,5,11
iq,2012,6,9
iq,2012,7,9
iq,2012,8,8
iq,2012,9,6
iq,2012,10,8
iq,2012,11,7
iq,2012,12,6
iq,2012,13,10
iq,2012,14,7
iq,2012,15,12
iq,2012,16,11
iq,2012,17,9
iq,2012,18,9
iq,2012,19,4
iq,2012,20,9
iq,2012,21,6
iq,2012,22,8
iq,2012,23,7
iq,2012,24,5
iq,2012,25,7
iq,2012,26,4
iq,2012,27,6
iq,2012,28,6
iq,2012,29,7
iq,2012,30,6
iq,2012,31,6
iq,2012,32,4
iq,2012,33,6
iq,2012,34,4
iq,2012,35,6
iq,2012,36,4
iq,2012,37,5
iq,2012,38,5
iq,2012,39,6
iq,2012,40,5
iq,2012,41,12
iq,2012,42,8
iq,2012,43,14
iq,2012,44,10
iq,2012,45,10
iq,2012,46,15
iq,2012,47,14
iq,2012,48,14
iq,2012,49,10
iq,2012,50,10
iq,2012,51,11
iq,2013,1,11
iq,2013,2,5
iq,2013,3,8
iq,2013,4,10
iq,2013,5,9
iq,2013,6,11
iq,2013,7,8
iq,2013,8,8
iq,2013,9,9
iq,2013,10,10
