city,year,weekofyear,total_cases
sj,2008,18,9
sj,2008,19,9
sj,2008,20,8
sj,2008,21,9
sj,2008,22,8
sj,2008,23,6
sj,2008,24,7
sj,2008,25,12
sj,2008,26,18
sj,2008,27,4
sj,2008,28,9
sj,2008,29,21
sj,2008,30,21
sj,2008,31,18
sj,2008,32,32
sj,2008,33,30
sj,2008,34,31
sj,2008,35,32
sj,2008,36,47
sj,2008,37,33
sj,2008,38,36
sj,2008,39,34
sj,2008,40,55
sj,2008,41,36
sj,2008,42,48
sj,2008,43,41
sj,2008,44,37
sj,2008,45,34
sj,2008,46,37
sj,2008,47,45
sj,2008,48,35
sj,2008,49,32
sj,2008,50,28
sj,2008,51,30
sj,2008,52,29
sj,2009,1,15
sj,2009,2,18
sj,2009,3,14
sj,2009,4,15
sj,2009,5,13
sj,2009,6,16
sj,2009,7,25
sj,2009,8,17
sj,2009,9,18
sj,2009,10,14
sj,2009,11,11
sj,2009,12,8
sj,2009,13,2
sj,2009,14,9
sj,2009,15,7
sj,2009,16,9
sj,2009,17,8
sj,2009,18,9
sj,2009,19,8
sj,2009,20,7
sj,2009,21,5
sj,2009,22,6
sj,2009,23,9
sj,2009,24,9
sj,2009,25,9
sj,2009,26,18
sj,2009,27,14
sj,2009,28,17
sj,2009,29,23
sj,2009,30,18
sj,2009,31,25
sj,2009,32,30
sj,2009,33,32
sj,2009,34,25
sj,2009,35,33
sj,2009,36,65
sj,2009,37,32
sj,2009,38,35
sj,2009,39,33
sj,2009,40,35
sj,2009,41,38
sj,2009,42,42
sj,2009,43,40
sj,2009,44,89
sj,2009,45,52
sj,2009,46,45
sj,2009,47,46
sj,2009,48,53
sj,2009,49,45
sj,2009,50,48
sj,2009,51,50
sj,2009,52,46
sj,2010,53,42
sj,2010,1,27
sj,2010,2,36
sj,2010,3,29
sj,2010,4,32
sj,2010,5,29
sj,2010,6,17
sj,2010,7,19
sj,2010,8,15
sj,2010,9,19
sj,2010,10,14
sj,2010,11,5
sj,2010,12,6
sj,2010,13,7
sj,2010,14,4
sj,2010,15,5
sj,2010,16,10
sj,2010,17,8
sj,2010,18,7
sj,2010,19,8
sj,2010,20,17
sj,2010,21,17
sj,2010,22,86
sj,2010,23,39
sj,2010,24,35
sj,2010,25,41
sj,2010,26,44
sj,2010,27,77
sj,2010,28,68
sj,2010,29,113
sj,2010,30,76
sj,2010,31,96
sj,2010,32,106
sj,2010,33,122
sj,2010,34,103
sj,2010,35,101
sj,2010,36,118
sj,2010,37,92
sj,2010,38,99
sj,2010,39,78
sj,2010,40,85
sj,2010,41,115
sj,2010,42,98
sj,2010,43,102
sj,2010,44,103
sj,2010,45,64
sj,2010,46,50
sj,2010,47,48
sj,2010,48,55
sj,2010,49,70
sj,2010,50,81
sj,2010,51,73
sj,2011,52,67
sj,2011,1,26
sj,2011,2,30
sj,2011,3,26
sj,2011,4,23
sj,2011,5,19
sj,2011,6,16
sj,2011,7,18
sj,2011,8,12
sj,2011,9,14
sj,2011,10,14
sj,2011,11,14
sj,2011,12,11
sj,2011,13,9
sj,2011,14,17
sj,2011,15,18
sj,2011,16,13
sj,2011,17,14
sj,2011,18,17
sj,2011,19,23
sj,2011,20,11
sj,2011,21,11
sj,2011,22,11
sj,2011,23,12
sj,2011,24,25
sj,2011,25,12
sj,2011,26,18
sj,2011,27,23
sj,2011,28,34
sj,2011,29,18
sj,2011,30,33
sj,2011,31,21
sj,2011,32,166
sj,2011,33,44
sj,2011,34,97
sj,2011,35,39
sj,2011,36,46
sj,2011,37,46
sj,2011,38,43
sj,2011,39,38
sj,2011,40,42
sj,2011,41,43
sj,2011,42,40
sj,2011,43,41
sj,2011,44,41
sj,2011,45,42
sj,2011,46,35
sj,2011,47,41
sj,2011,48,42
sj,2011,49,31
sj,2011,50,41
sj,2011,51,27
sj,2012,52,26
sj,2012,1,19
sj,2012,2,16
sj,2012,3,16
sj,2012,4,15
sj,2012,5,11
sj,2012,6,11
sj,2012,7,13
sj,2012,8,8
sj,2012,9,16
sj,2012,10,8
sj,2012,11,5
sj,2012,12,6
sj,2012,13,7
sj,2012,14,25
sj,2012,15,24
sj,2012,16,15
sj,2012,17,10
sj,2012,18,21
sj,2012,19,12
sj,2012,20,10
sj,2012,21,7
sj,2012,22,7
sj,2012,23,11
sj,2012,24,15
sj,2012,25,18
sj,2012,26,13
sj,2012,27,16
sj,2012,28,27
sj,2012,29,18
sj,2012,30,45
sj,2012,31,21
sj,2012,32,36
sj,2012,33,44
sj,2012,34,35
sj,2012,35,36
sj,2012,36,97
sj,2012,37,103
sj,2012,38,116
sj,2012,39,70
sj,2012,40,92
sj,2012,41,90
sj,2012,42,54
sj,2012,43,54
sj,2012,44,51
sj,2012,45,149
sj,2012,46,153
sj,2012,47,136
sj,2012,48,142
sj,2012,49,144
sj,2012,50,150
sj,2012,51,142
sj,2013,1,66
sj,2013,2,63
sj,2013,3,60
sj,2013,4,73
sj,2013,5,75
sj,2013,6,49
sj,2013,7,43
sj,2013,8,42
sj,2013,9,40
sj,2013,10,42
sj,2013,11,38
sj,2013,12,53
sj,2013,13,57
sj,2013,14,55
sj,2013,15,54
sj,2013,16,38
sj,2013,17,17
iq,2010,26,0
iq,2010,27,7
iq,2010,28,6
iq,2010,29,0
iq,2010,30,1
iq,2010,31,1
iq,2010,32,1
iq,2010,33,0
iq,2010,34,0
iq,2010,35,0
iq,2010,36,0
iq,2010,37,0
iq,2010,38,5
iq,2010,39,0
iq,2010,40,10
iq,2010,41,0
iq,2010,42,4
iq,2010,43,14
iq,2010,44,6
iq,2010,45,12
iq,2010,46,13
iq,2010,47,9
iq,2010,48,13
iq,2010,49,22
iq,2010,50,15
iq,2010,51,10
iq,2011,52,6
iq,2011,1,21
iq,2011,2,11
iq,2011,3,13
iq,2011,4,13
iq,2011,5,14
iq,2011,6,15
iq,2011,7,11
iq,2011,8,14
iq,2011,9,13
iq,2011,10,14
iq,2011,11,7
iq,2011,12,8
iq,2011,13,10
iq,2011,14,10
iq,2011,15,8
iq,2011,16,6
iq,2011,17,5
iq,2011,18,6
iq,2011,19,7
iq,2011,20,4
iq,2011,21,5
iq,2011,22,4
iq,2011,23,5
iq,2011,24,3
iq,2011,25,4
iq,2011,26,6
iq,2011,27,6
iq,2011,28,3
iq,2011,29,3
iq,2011,30,3
iq,2011,31,3
iq,2011,32,4
iq,2011,33,7
iq,2011,34,9
iq,2011,35,5
iq,2011,36,14
iq,2011,37,6
iq,2011,38,3
iq,2011,39,1
iq,2011,40,5
iq,2011,41,10
iq,2011,42,5
iq,2011,43,7
iq,2011,44,6
iq,2011,45,5
iq,2011,46,4
iq,2011,47,5
iq,2011,48,7
iq,2011,49,21
iq,2011,50,9
iq,2011,51,9
iq,2012,52,4
iq,2012,1,9
iq,2012,2,11
iq,2012,3,12
iq,2012,4,24
iq,2012,5,19
iq,2012,6,13
iq,2012,7,15
iq,2012,8,16
iq,2012,9,13
iq,2012,10,7
iq,2012,11,6
iq,2012,12,5
iq,2012,13,7
iq,2012,14,5
iq,2012,15,5
iq,2012,16,5
iq,2012,17,3
iq,2012,18,5
iq,2012,19,5
iq,2012,20,5
iq,2012,21,5
iq,2012,22,4
iq,2012,23,5
iq,2012,24,4
iq,2012,25,3
iq,2012,26,5
iq,2012,27,3
iq,2012,28,3
iq,2012,29,4
iq,2012,30,3
iq,2012,31,9
iq,2012,32,1
iq,2012,33,2
iq,2012,34,0
iq,2012,35,0
iq,2012,36,2
iq,2012,37,2
iq,2012,38,11
iq,2012,39,6
iq,2012,40,0
iq,2012,41,1
iq,2012,42,6
iq,2012,43,16
iq,2012,44,26
iq,2012,45,19
iq,2012,46,24
iq,2012,47,10
iq,2012,48,7
iq,2012,49,16
iq,2012,50,7
iq,2012,51,4
iq,2013,1,11
iq,2013,2,30
iq,2013,3,21
iq,2013,4,14
iq,2013,5,21
iq,2013,6,18
iq,2013,7,13
iq,2013,8,20
iq,2013,9,11
iq,2013,10,6
iq,2013,11,7
iq,2013,12,8
iq,2013,13,10
iq,2013,14,7
iq,2013,15,7
iq,2013,16,4
iq,2013,17,6
iq,2013,18,5
iq,2013,19,9
iq,2013,20,5
iq,2013,21,2
iq,2013,22,3
iq,2013,23,4
iq,2013,24,5
iq,2013,25,5
iq,2013,26,4
